datetime,1btc_l,1btc_u,1btc_e
2014-07-01,1.66965,1.98375,1.81844
2014-07-02,0.900671,2.01358,1.41335
2014-07-03,0.644398,2.03161,1.28207
2014-07-04,0.523152,2.14213,1.2667
2014-07-05,0.447716,2.16672,1.23689
2014-07-06,0.395463,2.1563,1.20365
2014-07-07,0.359528,2.16729,1.18912
2014-07-08,0.142002,2.20345,1.08724
2014-07-09,0.145977,2.26512,1.11767
2014-07-10,0.147209,2.28424,1.1271
2014-07-11,0.145839,2.26298,1.11662
2014-07-12,0.146566,2.27426,1.12218
2014-07-13,0.149567,2.32083,1.14516
2014-07-14,0.148083,2.2978,1.1338
2014-07-15,0.149984,2.3273,1.14835
2014-07-16,0.147445,2.28789,1.12891
2014-07-17,0.151312,2.34791,1.15852
2014-07-18,0.154223,2.39308,1.18081
2014-07-19,0.157512,2.4441,1.20599
2014-07-20,0.156808,2.43319,1.2006
2014-07-21,0.159623,2.47687,1.22216
2014-07-22,0.157085,2.43747,1.20272
2014-07-23,0.157366,2.44184,1.20487
2014-07-24,0.153288,2.37857,1.17365
2014-07-25,0.152077,2.35978,1.16438
2014-07-26,0.147556,2.28963,1.12976
2014-07-27,0.149011,2.3122,1.1409
2014-07-28,0.149872,2.32555,1.1475
2014-07-29,0.152544,2.36701,1.16795
2014-07-30,0.158144,2.45392,1.21083
2014-07-31,0.161434,2.50496,1.23602
2014-08-01,0.16202,2.51407,1.24051
2014-08-02,0.166416,2.58227,1.27416
2014-08-03,0.166567,2.58462,1.27532
2014-08-04,0.16308,2.53052,1.24862
2014-08-05,0.16096,2.49761,1.23239
2014-08-06,0.159749,2.47883,1.22312
2014-08-07,0.160511,2.49064,1.22895
2014-08-08,0.161721,2.50943,1.23822
2014-08-09,0.166055,2.57666,1.2714
2014-08-10,0.170793,2.65019,1.30767
2014-08-11,0.180413,2.79945,1.38133
2014-08-12,0.1877,2.91255,1.43713
2014-08-13,0.185818,2.88332,1.42271
2014-08-14,0.190279,2.95254,1.45687
2014-08-15,0.1916,2.97305,1.46698
2014-08-16,0.187613,2.91119,1.43646
2014-08-17,0.186501,2.89395,1.42795
2014-08-18,0.189043,2.93338,1.44741
2014-08-19,0.191859,2.97706,1.46896
2014-08-20,0.201261,3.12297,1.54096
2014-08-21,0.204155,3.16786,1.56311
2014-08-22,0.208079,3.22876,1.59315
