datetime,txn_lower_em_d,txn_upper_em_d,txn_estimated_em_d
2014-07-01,249.413,296.332,271.639
2014-07-02,140.016,313.027,219.717
2014-07-03,106.456,335.627,211.801
2014-07-04,91.3001,373.843,221.063
2014-07-05,93.057,450.349,257.085
2014-07-06,78.8239,429.795,239.913
2014-07-07,57.7614,348.194,191.043
2014-07-08,21.0468,326.584,161.145
2014-07-09,22.1409,343.559,169.522
2014-07-10,23.7024,367.791,181.478
2014-07-11,25.6792,398.463,196.613
2014-07-12,28.5219,442.574,218.378
2014-07-13,29.7092,460.999,227.469
2014-07-14,24.5666,381.198,188.094
2014-07-15,21.5944,335.079,165.337
2014-07-16,23.4341,363.625,179.423
2014-07-17,23.8084,369.434,182.289
2014-07-18,25.0888,389.303,192.092
2014-07-19,27.5897,428.108,211.241
2014-07-20,31.4553,488.092,240.838
2014-07-21,25.9398,402.507,198.608
2014-07-22,24.5313,380.65,187.824
2014-07-23,24.566,381.189,188.09
2014-07-24,24.1486,374.713,184.893
2014-07-25,25.8426,400.999,197.864
2014-07-26,27.3734,424.752,209.584
2014-07-27,29.9519,464.763,229.327
2014-07-28,24.2135,375.718,185.391
2014-07-29,25.9001,401.889,198.304
2014-07-30,25.0056,388.013,191.455
2014-07-31,24.2057,375.599,185.331
2014-08-01,24.9783,387.588,191.246
2014-08-02,31.6868,491.682,242.61
2014-08-03,32.5248,504.686,249.026
2014-08-04,25.1905,390.88,192.871
2014-08-05,23.1641,359.436,177.356
2014-08-06,20.8227,323.106,159.429
2014-08-07,24.0829,373.693,184.391
2014-08-08,24.8385,385.42,190.176
2014-08-09,28.744,446.019,220.079
2014-08-10,30.9647,480.476,237.08
2014-08-11,25.0646,388.925,191.906
2014-08-12,25.6004,397.243,196.01
2014-08-13,25.784,400.088,197.415
2014-08-14,25.2865,392.369,193.606
2014-08-15,27.5107,426.883,210.635
2014-08-16,29.0329,450.502,222.29
2014-08-17,32.5753,505.472,249.413
2014-08-18,27.3306,424.089,209.257
2014-08-19,27.0281,419.394,206.94
2014-08-20,28.6975,445.298,219.723
2014-08-21,29.4068,456.304,225.154
2014-08-22,32.7306,507.878,250.601
2014-08-23,39.1718,607.827,299.919
2014-08-24,39.9825,620.406,306.125
2014-08-25,31.6568,491.217,242.38
2014-08-26,30.8241,409.397,204.426
2014-08-27,30.0302,333.279,169.107
2014-08-28,32.8706,292.896,152.143
2014-08-29,33.2599,227.195,122.243
2014-08-30,37.9405,178.861,102.639
2014-08-31,41.7234,118.216,76.903
2014-09-01,34.7953,41.3411,37.8959
2014-09-02,33.9473,40.3334,36.9723
2014-09-03,34.6805,41.2043,37.7708
2014-09-04,35.4482,42.1167,38.6067
2014-09-05,36.7972,43.7193,40.0762
2014-09-06,40.2702,47.8459,43.8586
2014-09-07,41.9184,49.8039,45.6537
2014-09-08,33.6356,39.9631,36.6329
2014-09-09,31.1215,36.9763,33.8947
2014-09-10,34.7067,41.2356,37.7994
2014-09-11,38.5623,45.8168,41.9985
2014-09-12,37.5385,44.6002,40.8835
2014-09-13,42.0987,50.0186,45.8503
2014-09-14,38.6888,45.9668,42.1361
2014-09-15,34.0953,40.5094,37.1335
